,,,CH1 T,CH1 V,CH2 T,CH2 V
Record Length,2500.000000,,-0.25,-0.08,0.112,-0.0032
Sample Interval,0.000200,,-0.2498,-0.16,0.14,-0.004
Trigger Point,1250.000000,,-0.2496,-0.08,0.112,-0.0032
,,,-0.2494,-0.16,0.112,-0.0032
,,,-0.2492,-0.16,0.084,-0.0024
,,,-0.249,-0.16,0.056,-0.0016
Source,CH1,,-0.2488,-0.24,0.084,-0.0024
Vertical Units,V,,-0.2486,-0.32,0.084,-0.0024
Vertical Scale,2.000000,,-0.2484,-0.32,0.084,-0.0024
Vertical Offset,4.000000,,-0.2482,-0.32,0.056,-0.0016
Horizontal Units,s,,-0.248,-0.32,0.056,-0.0016
Horizontal Scale,0.050000,,-0.2478,-0.4,0.028,-0.0008
Pt Fmt,Y,,-0.2476,-0.4,0.028,-0.0008
Yzero,0.000000,,-0.2474,-0.48,0.028,-0.0008
Probe Atten,1.000000,,-0.2472,-0.4,0,0
Model Number,TBS1102,,-0.247,-0.48,0,0
Serial Number,C053177,,-0.2468,-0.48,0,0
Firmware Version,FV:v26.05,,-0.2466,-0.48,0,0
,,,-0.2464,-0.56,-0.056,0.0016
,,,-0.2462,-0.56,-0.056,0.0016
,,,-0.246,-0.64,-0.028,0.0008
,,,-0.2458,-0.64,-0.056,0.0016
,,,-0.2456,-0.56,0,0
,,,-0.2454,-0.64,-0.084,0.0024
,,,-0.2452,-0.72,-0.112,0.0032
,,,-0.245,-0.72,-0.084,0.0024
,,,-0.2448,-0.72,-0.084,0.0024
,,,-0.2446,-0.72,-0.112,0.0032
,,,-0.2444,-0.8,-0.112,0.0032
,,,-0.2442,-0.8,-0.14,0.004
,,,-0.244,-0.88,-0.14,0.004
,,,-0.2438,-0.88,-0.14,0.004
,,,-0.2436,-0.88,-0.14,0.004
,,,-0.2434,-0.88,-0.196,0.0056
,,,-0.2432,-0.88,-0.168,0.0048
,,,-0.243,-0.88,-0.168,0.0048
,,,-0.2428,-0.96,-0.196,0.0056
,,,-0.2426,-0.96,-0.196,0.0056
,,,-0.2424,-1.04,-0.196,0.0056
,,,-0.2422,-1.04,-0.224,0.0064
,,,-0.242,-1.04,-0.224,0.0064
,,,-0.2418,-1.12,-0.252,0.0072
,,,-0.2416,-1.12,-0.224,0.0064
,,,-0.2414,-1.12,-0.224,0.0064
,,,-0.2412,-1.12,-0.252,0.0072
,,,-0.241,-1.2,-0.224,0.0064
,,,-0.2408,-1.2,-0.252,0.0072,,,-2.08,0.0192
,,,-0.2406,-1.28,-0.252,0.0072,,,-2.08,0.0192
,,,-0.2404,-1.28,-0.28,0.008,,,-2.08,0.0184
,,,-0.2402,-1.28,-0.252,0.0072,,,-2.16,0.0192
,,,-0.24,-1.28,-0.28,0.008,,,-2.08,0.0192
,,,-0.2398,-1.28,-0.28,0.008,,,-2.08,0.0184
,,,-0.2396,-1.44,-0.308,0.0088,,,-2.16,0.0192
,,,-0.2394,-1.36,-0.28,0.008,,,-2.08,0.0184
,,,-0.2392,-1.36,-0.336,0.0096,,,-2.08,0.0192
,,,-0.239,-1.44,-0.308,0.0088,,,-2.08,0.0184
,,,-0.2388,-1.44,-0.308,0.0088,,,-2.08,0.0192
,,,-0.2386,-1.44,-0.308,0.0088,,,-2.08,0.0192
,,,-0.2384,-1.44,-0.336,0.0096,,,-2.08,0.0184
,,,-0.2382,-1.44,-0.308,0.0088,,,-2.08,0.0192
,,,-0.238,-1.44,-0.364,0.0104,,,-2.08,0.0192
,,,-0.2378,-1.52,-0.336,0.0096,,,-2.08,0.02
,,,-0.2376,-1.52,-0.336,0.0096,,,-2.08,0.02
,,,-0.2374,-1.52,-0.392,0.0112,,,-2.08,0.0192
,,,-0.2372,-1.6,-0.364,0.0104,,,-2.08,0.0192
,,,-0.237,-1.6,-0.364,0.0104,,,-2.08,0.0184
,,,-0.2368,-1.6,-0.364,0.0104,,,-2,0.02
,,,-0.2366,-1.6,-0.42,0.012,,,-2.08,0.0192
,,,-0.2364,-1.6,-0.42,0.012,,,-2.08,0.02
,,,-0.2362,-1.68,-0.42,0.012,,,-2,0.0192
,,,-0.236,-1.68,-0.42,0.012,,,-2,0.0192
,,,-0.2358,-1.68,-0.448,0.0128,,,-2,0.0192
,,,-0.2356,-1.68,-0.448,0.0128,,,-1.92,0.0184
,,,-0.2354,-1.68,-0.448,0.0128,,,-2,0.0184
,,,-0.2352,-1.68,-0.448,0.0128,,,-2,0.0184
,,,-0.235,-1.76,-0.448,0.0128,,,-2,0.0184
,,,-0.2348,-1.76,-0.476,0.0136,,,-1.92,0.0176
,,,-0.2346,-1.76,-0.504,0.0144,,,-1.92,0.0184
,,,-0.2344,-1.76,-0.476,0.0136,,,-2.08,0.0184
,,,-0.2342,-1.76,-0.476,0.0136,,,-1.84,0.0176
,,,-0.234,-1.76,-0.504,0.0144,,,-1.92,0.0184
,,,-0.2338,-1.76,-0.504,0.0144,,,-1.84,0.0176
,,,-0.2336,-1.84,-0.504,0.0144,,,-1.92,0.0184
,,,-0.2334,-1.84,-0.532,0.0152,,,-1.84,0.0168
,,,-0.2332,-1.84,-0.504,0.0144,,,-1.84,0.0176
